"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025"
"irl",80,"Europe","Ireland","Irlande",70000,70000,4200000,4400000,4500000,4500000,4500000,4600000,4600000,4600000,4600000,4600000,4700000,4700000,4700000,4900000,4900000,4900000,5000000,5000000,5200000,60,62.86,64.29,64.29,64.29,65.71000000000001,65.71000000000001,65.71000000000001,65.71000000000001,65.71000000000001,67.14,67.14,67.14,70.,70.,70.,71.43,71.43,74.29
"isl",81,"Europe","Iceland","Islande",103000,103000,300000,300000,300000,300000,300000,300000,300000,320000,320000,330000,332000,334000,338000,340000,341000,343000,373000,375000,393000,3,2.91,2.91,2.91,2.91,2.91,2.91,3.11,3.11,3.2,3.22,3.24,3.2800000000000002,3.3000000000000003,3.31,3.33,3.62,3.64,3.8200000000000003
"isr",82,"Asie","Israel","Israël",21000,21000,7200000,7300000,7500000,7600000,7300000,7900000,7700000,8100000,8100000,8400000,8200000,8300000,8400000,8500000,8500000,8800000,9000000,9100000,9300000,343,347.62,357.14,361.90000000000003,347.62,376.19,366.67,385.71000000000004,385.71000000000004,400.,390.48,395.24,400.,404.76,404.76,419.05,428.57,433.33,442.86
"ita",83,"Europe","Italy","Italie",302000,302000,59000000,59300000,59900000,60300000,60100000,60800000,61000000,59800000,59800000,62500000,59800000,59800000,59300000,60600000,60500000,60300000,59000000,58800000,59300000,195,196.36,198.34,199.67000000000002,199.01,201.32,201.99,198.01,198.01,206.95000000000002,198.01,198.01,196.36,200.66,200.33,199.67000000000002,195.36,194.70000000000002,196.36
"jam",84,"Amérique","Jamaica","Jamaïque",11000,11000,2700000,2700000,2700000,2700000,2700000,2700000,2800000,2700000,2700000,2700000,2800000,2800000,2900000,2900000,2900000,2900000,2900000,2800000,2800000,245,245.45000000000002,245.45000000000002,245.45000000000002,245.45000000000002,245.45000000000002,254.55,245.45000000000002,245.45000000000002,245.45000000000002,254.55,254.55,263.64,263.64,263.64,263.64,263.64,254.55,254.55
"jpn",85,"Asie","Japan","Japon",378000,378000,127800000,127700000,127700000,127600000,127000000,128100000,126400000,127300000,127300000,126900000,126300000,126000000,127200000,126900000,126500000,126000000,124000000,123300000,123700000,338,337.83,337.83,337.57,335.98,338.89,334.39,336.77,336.77,335.71,334.13,333.33,336.51,335.71,334.66,333.33,328.04,326.19,327.25
"jor",86,"Asie","Jordan","Jordanie",89000,89000,5600000,5700000,5800000,5900000,6500000,6600000,6500000,7300000,7300000,8100000,7700000,7900000,9900000,10100000,10200000,10200000,11300000,11300000,11500000,63,64.04,65.17,66.29,73.03,74.16,73.03,82.02,82.02,91.01,86.52,88.76,111.24000000000001,113.48,114.61,114.61,126.97,126.97,129.21
"kaz",87,"Asie","Kazakhstan","Kazakhastan",2720000,2720000,15300000,15500000,15700000,15900000,15800000,16600000,16400000,17000000,17000000,17500000,17800000,18100000,18400000,18600000,18800000,19000000,19400000,19600000,20500000,6,5.7,5.7700000000000005,5.8500000000000005,5.8100000000000005,6.1000000000000005,6.03,6.25,6.25,6.43,6.54,6.65,6.76,6.84,6.91,6.99,7.13,7.21,7.54
"ken",88,"Afrique","Kenya","Kenya",581000,581000,34700000,35000000,38000000,39100000,40900000,41600000,42700000,44200000,44200000,44300000,47200000,48500000,50900000,52600000,53800000,54900000,54000000,55100000,56400000,60,60.24,65.4,67.3,70.4,71.60000000000001,73.49,76.08,76.08,76.25,81.24,83.48,87.61,90.53,92.60000000000001,94.49,92.94,94.84,97.07000000000001
"kgz",89,"Asie","Kyrgyzstan","Kirghizstan",199000,199000,5200000,5200000,5200000,5300000,5600000,5600000,5400000,5700000,5700000,6000000,6000000,6100000,6100000,6400000,6500000,6600000,6600000,6700000,7100000,26,26.13,26.13,26.63,28.14,28.14,27.14,28.64,28.64,30.150000000000002,30.150000000000002,30.650000000000002,30.650000000000002,32.160000000000004,32.660000000000004,33.17,33.17,33.67,35.68
